"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"HMU8052","NY","PAS","9040674565","03/17/2023","08:18A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","030","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PUkZVeVRsRTlQUT09&locationName=_____________________)"
"D61NCP","NJ","PAS","9077627133","09/15/2023","11:26A","NO PARKING-STREET CLEANING",,"65","10","0","0","75","0","067","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxPZWtWNlRYYzlQUT09&locationName=_____________________)"
"HWY1123","NY","PAS","9040675119","03/13/2023","08:23A","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","024","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1FMUVXVE5PVkVWNFQxRTlQUT09&locationName=_____________________)"
"54239MN","NY","COM","8912160837","04/20/2022","08:39A","FAIL TO DISP. MUNI METER RECPT",,"65","0","0","0","0","65","006","NY","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFSVEpOUkdkNlRuYzlQUT09&locationName=_____________________)"
"KRU6483","NY","PAS","5127511393","05/14/2023","04:26P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkUwMVRYYzlQUT09&locationName=_____________________)"
"T753096C","NY","OMT","9064130917","06/24/2023","05:35P","NO STANDING-DAY/TIME LIMITS",,"115","10","0","0","125","0","060","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOUkd0NFRuYzlQUT09&locationName=_____________________)"
"118209T","NJ","PAS","8952764390","07/30/2021",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMXFZekpPUkUwMVRVRTlQUT09&locationName=_____________________)"
"BN96310","IL","PAS","8819495739","06/07/2021",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVVVFZPVkdONlQxRTlQUT09&locationName=_____________________)"
"02358F4","TX","PAS","8952764389","07/30/2021",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VMXFZekpPUkUwMFQxRTlQUT09&locationName=_____________________)"
"84439PC","NY","APP","8912168289","06/02/2022","09:14A","DOUBLE PARKING",,"115","0","0","0","115","0","009","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFSVEpQUkVrMFQxRTlQUT09&locationName=_____________________)"
"84439PC","NY","APP","8912168290","06/02/2022","09:15A","PLTFRM LFTS LWRD POS COMM VEH",,"65","0","0","0","65","0","009","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFSVEpQUkVrMVRVRTlQUT09&locationName=_____________________)"
"AU158R","NJ","PAS","8912166918","05/25/2022","08:49A","DOUBLE PARKING",,"115","0","0","0","115","0","009","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMXFSVEpPYW10NFQwRTlQUT09&locationName=_____________________)"
"JBW5237","NY","PAS","9002934506","08/25/2022","08:27A","INSP. STICKER-EXPIRED/MISSING","12/15/2022","65","60","1.38","0","0","126.38","104","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMXFhM3BPUkZWM1RtYzlQUT09&locationName=_____________________)"
"KFZ8332","NY","PAS","9002934464","08/25/2022","08:14A","NO STANDING-BUS STOP",,"115","30","0","0","145","0","104","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMXFhM3BPUkZFeVRrRTlQUT09&locationName=_____________________)"
"AP11176","CT","PAS","8819516070","08/03/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWGhPYWtFelRVRTlQUT09&locationName=_____________________)"
"GTC7081","NY","PAS","5127511794","05/14/2023","04:40P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkdNMVRrRTlQUT09&locationName=_____________________)"
"LAV6249","NY","PAS","5127511642","05/14/2023","04:35P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkZrd1RXYzlQUT09&locationName=_____________________)"
"KGX6251","NY","PAS","5127511472","05/14/2023","04:29P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.23","0.06","75.17","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkZFelRXYzlQUT09&locationName=_____________________)"
"KUY9401","NY","PAS","9064130991","06/26/2023","05:17A","FIRE HYDRANT","10/12/2023","115","60","0.61","0.22","175.39","0","072","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOUkdzMVRWRTlQUT09&locationName=_____________________)"
"KYB3368","NY","PAS","9068987719","08/02/2023","06:54A","INSP. STICKER-EXPIRED/MISSING",,"65","60","0","30","95","0","101","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJPZW1ONFQxRTlQUT09&locationName=_____________________)"
"LAG8958","NY","PAS","5127511423","05/14/2023","04:27P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","1.9","0.04","76.86","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkZGNVRYYzlQUT09&locationName=_____________________)"
"576FVA","NJ","PAS","8819516111","08/03/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWGhPYWtWNFRWRTlQUT09&locationName=_____________________)"
"72874MM","NY","COM","8819516767","08/07/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWGhPYW1NeVRuYzlQUT09&locationName=_____________________)"
"JEJ8150","NY","PAS","8917025511","08/04/2022","01:11P","NO PARKING-DAY/TIME LIMITS",,"60","0","0","0","60","0","103","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkZWNFRWRTlQUT09&locationName=_____________________)"
"KLA3158","NY","PAS","5127511599","05/14/2023","04:33P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkZVMVQxRTlQUT09&locationName=_____________________)"
"HFX8041","NY","PAS","8916920486","07/22/2021","04:06P","INSP. STICKER-EXPIRED/MISSING","07/28/2022","65","60","0.72","0.04","125.68","0","104","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNXFhM2xOUkZFMFRtYzlQUT09&locationName=_____________________)"
"JKM1016","NY","PAS","5127511411","05/14/2023","04:27P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkZGNFRWRTlQUT09&locationName=_____________________)"
"GZK6735","NY","PAS","8917025596","08/04/2022","02:40P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","107","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkZVMVRtYzlQUT09&locationName=_____________________)"
"KNX9375","NY","PAS","5127511848","05/14/2023","04:42P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.1","0.06","75.04","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkdjd1QwRTlQUT09&locationName=_____________________)"
"HVN6820","NY","PAS","9077627637","09/26/2023","11:36A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxPZWxsNlRuYzlQUT09&locationName=_____________________)"
"KGE6801","NY","PAS","8917025559","08/04/2022","01:23P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","103","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkZVeFQxRTlQUT09&locationName=_____________________)"
"1153YG","ME","PAS","8917025572","08/04/2022","01:27P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","103","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkZVelRXYzlQUT09&locationName=_____________________)"
"FDX9762","NY","PAS","8917025766","08/05/2022","02:18P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkdNeVRtYzlQUT09&locationName=_____________________)"
"FXZ9524","NY","PAS","8917025560","08/04/2022","01:25P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","103","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkZVeVRVRTlQUT09&locationName=_____________________)"
"JDZ9248","NY","PAS","8917025717","08/05/2022","01:55P","EXPIRED MUNI METER",,"35","0","0","0","35","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkdONFRuYzlQUT09&locationName=_____________________)"
"KJX8126","NY","PAS","8917025638","08/05/2022","01:08P","EXPIRED MUNI METER",,"35","10","0","10","35","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkZsNlQwRTlQUT09&locationName=_____________________)"
"EPC6098","NY","PAS","8917025640","08/05/2022","01:10P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkZrd1RVRTlQUT09&locationName=_____________________)"
"AB91344","CT","999","9064131211","06/26/2023","06:23A","NO STANDING-BUS STOP",,"115","10","0","10","115","0","072","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOVkVsNFRWRTlQUT09&locationName=_____________________)"
"21K1B","ID","PAS","8917025894","08/08/2022","12:56P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","35","0","0","112","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkdjMVRrRTlQUT09&locationName=_____________________)"
"KDR4749","NY","PAS","8917025900","08/08/2022","01:02P","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkd0M1RVRTlQUT09&locationName=_____________________)"
"JPD6739","NY","PAS","8917025869","08/08/2022","12:46P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkdjeVQxRTlQUT09&locationName=_____________________)"
"GLU3714","NY","PAS","9001534302","08/08/2022","09:16A","CROSSWALK",,"115","0","0","0","115","0","009","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVWWHBPUkUxM1RXYzlQUT09&locationName=_____________________)"
"77639KA","NY","COM","9001534340","08/08/2022","10:04A","NO PARKING-DAY/TIME LIMITS",,"65","0","0","65","0","0","009","NY","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVWWHBPUkUwd1RVRTlQUT09&locationName=_____________________)"
"XJEZ57","NJ","PAS","8819523012","09/09/2020","04:02P","NO PARKING-DAY/TIME LIMITS","09/15/2022","65","60","2.43","60.06","67.37","0","019","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWGxOZWtGNFRXYzlQUT09&locationName=_____________________)"
"GUX6177","NY","PAS","5127512026","05/14/2023","04:48P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWtGNVRtYzlQUT09&locationName=_____________________)"
"KDJ2078","PA","PAS","5127512002","05/14/2023","04:47P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","1.35","0.02","76.33","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWtGM1RXYzlQUT09&locationName=_____________________)"
"MGF0079","PA","PAS","9068987793","08/02/2023","07:29A","NO STANDING-DAY/TIME LIMITS",,"115","30","0","0","145","0","101","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJPZW1NMVRYYzlQUT09&locationName=_____________________)"
"V16NVG","NJ","PAS","9068987781","08/02/2023","07:27A","NO STANDING-DAY/TIME LIMITS","12/21/2023","115","60","0.22","0.13","175.09","0","101","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rOUVhelJPZW1NMFRWRTlQUT09&locationName=_____________________)"
"GLH9296","NY","PAS","5127511964","05/14/2023","04:45P","FAILURE TO STOP AT RED LIGHT","08/17/2023","50","25","0.5","0.07","75.43","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkdzeVRrRTlQUT09&locationName=_____________________)"
"KHP2778","NY","PAS","8917026011","08/08/2022","02:28P","NO STANDING-EXC. TRUCK LOADING",,"95","0","0","0","95","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPYWtGNFRWRTlQUT09&locationName=_____________________)"
"ADS9212","NY","PAS","8917025936","08/08/2022","01:52P","NO PARKING-DAY/TIME LIMITS",,"60","0","0","0","60","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPVkd0NlRtYzlQUT09&locationName=_____________________)"
"615715R","NJ","PAS","8819522731","09/08/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWGxOYW1ONlRWRTlQUT09&locationName=_____________________)"
"T103165C","NY","OMT","5127511897","05/14/2023","04:44P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOVkdjMVRuYzlQUT09&locationName=_____________________)"
"T109879C","NY","OMT","5127512269","05/14/2023","04:54P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWtreVQxRTlQUT09&locationName=_____________________)"
"KSC7345","NY","PAS","9064131405","06/26/2023","07:45A","FIRE HYDRANT",,"115","10","0","10","115","0","072","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOVkZGM1RsRTlQUT09&locationName=_____________________)"
"HGC2310","NY","PAS","9064131480","06/27/2023","05:28A","FIRE HYDRANT",,"115","10","0","0","125","0","066","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk1rNUVSWHBOVkZFMFRVRTlQUT09&locationName=_____________________)"
"FP182263","IL","PAS","9077627716","09/26/2023","11:47A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wNTZXWGxPZW1ONFRtYzlQUT09&locationName=_____________________)"
"KFJ4976","NY","PAS","5127512257","05/14/2023","04:54P","FAILURE TO STOP AT RED LIGHT",,"50","0","0","0","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWtreFRuYzlQUT09&locationName=_____________________)"
"KZH6968","NY","PAS","5127512087","05/14/2023","04:51P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWtFMFRuYzlQUT09&locationName=_____________________)"
"A25GBS","NJ","PAS","8819526049","09/23/2020","05:19P","NO PARKING-DAY/TIME LIMITS","07/28/2022","65","60","4.24","0.22","129.02","0","019","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWGxPYWtFd1QxRTlQUT09&locationName=_____________________)"
"KNB2124","NY","PAS","8917026280","08/09/2022","02:23P","EXPIRED MUNI METER",,"35","0","0","0","35","0","104","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPYWtrMFRVRTlQUT09&locationName=_____________________)"
"KZL9245","NY","PAS","5127512129","05/14/2023","04:52P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWtWNVQxRTlQUT09&locationName=_____________________)"
"KTA8792","NY","PAS","8917026060","08/08/2022","07:49P","NO PARKING-DAY/TIME LIMITS",,"60","0","0","0","60","0","112","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNTZRWGxPYWtFeVRVRTlQUT09&locationName=_____________________)"
"3LX827","MA","PAS","5127512300","05/14/2023","04:55P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWsxM1RVRTlQUT09&locationName=_____________________)"
"TBW9429","NC","PAS","5127512099","05/14/2023","04:51P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWtFMVQxRTlQUT09&locationName=_____________________)"
"KZY1096","NY","PAS","5127512622","05/14/2023","05:06P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWxsNVRXYzlQUT09&locationName=_____________________)"
"ZHD3673","NY","ITP","8819530569","10/14/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWHBOUkZVeVQxRTlQUT09&locationName=_____________________)"
"KKL5048","NY","PAS","5127512610","05/14/2023","05:06P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","ST","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWxsNFRVRTlQUT09&locationName=_____________________)"
"78527JR","NY","COM","8819529580","10/08/2020","01:57P","EXPIRED MUNI METER","12/08/2022","65","60","0.27","0.21","125.06","0","020","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWGxQVkZVMFRVRTlQUT09&locationName=_____________________)"
"KKJ0002","PA","PAS","5127512749","05/14/2023","05:09P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYW1Nd1QxRTlQUT09&locationName=_____________________)"
"160BA8","NY","MOT","5127512580","05/14/2023","05:05P","FAILURE TO STOP AT RED LIGHT",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVNTZWWGhOYWxVMFRVRTlQUT09&locationName=_____________________)"
"KFM3143","NY","PAS","1488363444","02/21/2023","07:05P","FIRE HYDRANT","06/08/2023","115","60","2.66","0.17","177.49","0","090","K","POLICE DEPARTMENT",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FOUVUVEpOZWxFd1RrRTlQUT09&locationName=_____________________)"
"63174ML","NY","COM","8819531562","10/20/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWHBOVkZVeVRXYzlQUT09&locationName=_____________________)"
"806488R","NJ","PAS","8819531604","10/20/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWHBOVkZsM1RrRTlQUT09&locationName=_____________________)"
"24876JY","NY","COM","8819529452","10/08/2020","01:15P","NO PARKING-DAY/TIME LIMITS",,"65","0","0","65","0","0","020","NY","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWGxQVkZFeFRXYzlQUT09&locationName=_____________________)"
"712925R","NJ","PAS","8819532580","10/24/2020",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFOVVWWHBOYWxVMFRVRTlQUT09&locationName=_____________________)"
